155EA	113E1
273571	27611
244BC	2339A
21812	252C5
22030301	102332102
42D8	52B3
10111111111100111	10111110000001001
153813	15663
214513	25423
188DE	CE32
289A2	20205
24046	45356
793F	16B55
16203	30261
8A67	A4A7
28175	4568B
1863E	5207
1130401	1113301
50DD	B431
158467	25387
205260	551130
211020021	10120101021
4112	1420
1223402	1021232
D257	12453
436442	303632
3905	5956
1631	2534
46479	AB63
15AD8	A9EB
13033010	33203030
556165	263260
17963	16D4B
E5A2	1678E
11042443	2021134
31131002	32223323
34616	61643
40722	37212
32C57	29150
4030122	1141241
3702	3114
21210012	23201121
221102	1525445
71565	56517
17963	16D4B
12200331	32110212
204460	255454
520160	463643
117182	142062
10001010101010001	1001101111100011
28819	C421
45544	31981
10011000101110111	11000001101110011
320123	215040
1B54C	22C1A
102221012	111200012
516B	4049
45818	32055
2B03	2A15
1032012	1014225
38501	10583
11220022010	10210011010
5A8A6	688A6
164231	152503
10112110222	2120112122
12013221	31223310
1531151	1303434
2122200112	11211121212
286B1	1A881
241A	1A15
9643	1B443
43813	31834
C890	AD1B
7963	3A143
2073	1948
10410033	10224334
121A0	2A810
121003	44204
11777	21633
3935A	13267
28978	2B060
10113103	10242403
15C6	2079
1224123	2133012
153437	161247
2211022222	10021200122
530524	1001124
31030	53880
60987	78906
64099	99046
1243032	4423432
100213032	33221112
261412	510301
11202001112	1210110212
3112220	33203303
40062	124705
453433	1411303
1100014	305101
1343323	2140342
32011201	103130323
44A9	12F03
126155	362432
263000	245213
10100022100	2201212200
534100	1505030
11101011010	101101000001
234221	204433
156325	74765
B2A	2186
4324232	1422022
51974	47915
63363	11A43
3400422	10002440
25676	256027
437A	49B7
68	28
18B	251
23AD3	24C86
1684	1243
42067	55387
11201100222	1022102122
10221	30120
330053	2004240
175600	136332
423532	542115
166A7	B05B
20202102	12210333
76111	214205
11012100121	10020021121
53114	2A654
C444	A16D
202013	323210
2210020011	202100211
15469	D3A2
200112222	10011202222
AC3C	33A60
1425310	1214410
17837	46327
2336	1772
4113	7198
4323221	1012122
1101111100010011	10001001000011111
1011000011110	101001101001
6245A	513AA
1410401	1002012
1CC57	DA77
442	12E
3B54B	2A812
148060	157200
1001010111010011	1101100001010111
478B2	30115
126824	77304
83416	61438
1022113	2111212
40818	2B478
27773	19259
BB6	2340
33A80	30222
4424323	10140432
32439	4BC6
100101000010111	10010110010110101
4500	B64F
450641	362150
101000111	1011010011
1043452	555505
11196	11196
23751	34431
5F6F	3482
48785	17955
8772	6332
15050	15466
8C18	B705
12A0D	287F
124431	30434
1B166	87CA
1515441	215424
3A715	479A5
215D6	12416
10001101100011	10010100100101
13101201	21231300
4061	3665
41001	33531
1143433	1551450
1011011010010010	10100011100110100
3B619	5A40
13101201	21231300
2AB1	1E64
47A5	3168
82C2	C432
4C5A	FC4F
4344330	3310242
638C	1A1A1
13874	5004
23580	19A6C
23220310	111022102
522120	315550
33110122	33303112
16608	80661
466625	265625
1101110	332321
2ABA2	143C6
423541	166123
2006	6326
90B7	1711D
52658	45378
31C42	C39A
41001	33531
11196	11196
10101010000010	111000010000001
24314	41342
EED4	1E73A
522120	315550
12052	15166
31658	29072
A89	31A3
18212	111222
325	90
46757	121377
17AB2	2AB8B
41125	23605
22340	142301
141237	133427
101112003	20103201
68403	132A3
33000100	33332020
412532	254345
506165	556130
18834	34014
4450	11632
3334122	1323220
101B6	3AA70
310403	214050
11110102002	11222010102
52543	34525
155118	131118
17765	35765
22340	142301
11111001110101	11000001010000111
1423225	2033442
83B2	A305
1001110010001000	110100101111100
66622	256150
10101002022	112100122
1240111	3413232
211405	400435
20210002	23133031
11010201222	11100011122
162006	158256
104102	137232
1123014	3021202
120121	14034
1430332	1241302
44234	15104
21905	49145
75937	73957
70241	102132
3312202	111123013
1120121122	10212021022
1223A	15C9F
10012401	311242
13547	DF6D
113333231	32032301
155141	1411211
110046	50743
1301A	20025
21223130	22322111
2D2D	2654
65939	93956
10001100000100100	1111000100010101
63131	24026
15820	12913
2AAC	B99
10101200011	11201101111
26B54	A759
3360	32451
10776	3550
88D4	181C0
222002000	11001212100
2334210	3230114
21110312	111301133
1123511	2015511
103650	322536
10111110000000111	10011000111000111
145047	28037
20566	23134
4A659	32039
8BF7	361D
304501	535132
145047	28037
814D	1B6B7
1222101222	1201121122
4810A	2392A
276757	160663
107237	26453
2013341	2035211
12B1	16F2
4142332	4421421
41082	28014
51319	91315
3431121	331131
22400	103513
33117	13773
1050100	325343
2110323	111033
551	92
D237	17DB4
1353252	1151405
5619	9165
275C3	1A006
EA8E	CE2E
1567E	1DB0B
2818A	8816
1387	2488
4040304	11101211
14C61	23A6C
63088	51088
123113	202043
7312	4CA5
1021142	4332241
414A7	2923A
452355	340146
444214	532201
134655	345015
1AE5B	36D8
103033330	22331113
100001111100111	1001010111100011
143223	1140023
35920	41A13
264154	250325
2534C	2133D
88519	91588
10110100010001111	111011001111001
4032111	4100041
100001111100111	1001010111100011
235411	213254
3130320	33122211
14832	40662
2042412	4221033
42BE	109E7
244610	111566
27313	15CCD
4400	6090
1410422	1330012
2010122000	1001211200
562521	444366
1B930	1802B
410045	1551515
23422	12634
120013022	12202211
2C86	2009
2501	1052
253053	402510
17050	1079C
16235	150315
147A8	7DA9
27313	15CCD
111111110011100	10101001001011111
1342330	1202313
880B	11C8B
246433	157652
8283	26ABC
2014222	1500035
128B2	2219C
1355F	1837D
1868A	ED17
1030320	555433
243074	170142
83764	46738
1E1EC	6979
51278	87215
67592	29576
18162	4293B
100303211	102002132
1045303	140203
13C92	36255
51143	28683
40032	68902
1305D	5032
41792	29714
52602	40832
17472	FB67
76639	93667
222144	304402
23220122	12001202
10000000100000011	1110100101101100
3A37	33AA
6315	1775
111EC	170D0
125D9	C140
243623	273136
1230111	1555154
1320233	1301231
1341451	2014221
2983	2AD7
59A39	43759
202201	22211
240354	177150
1B07C	17BA3
115304	553521
16780	3A513
15323	166DC
247264	137022
1311133	2033011
10001011010000011	11000001110010001
11666	25556
1515235	1300252
1323444	1253001
B53	26FE
1A766	31AB2
2AA75	33765
4022	4A38
4507	4894
111001012	110102112
1000011001111010	1111001111101011
111232322	103303022
12AB2	32768
2022411	1403141
22416	37986
10010100001110100	111010010100001
4412331	4120312
12220201	2221001
26229	15311
28446	30523
1233132	1003131
16462	41023
261054	113502
10012001101	200211101
350A6	23883
41252	42572
13C4A	1A130
3365	12251
4942A	6542A
120102001	102123223
25891	34691
17050	21360
1151522	251152
24A10	30B86
24048	A234
100148	71658
420425	1343025
2550D	15C23
132540	20600
3002344	2323044
10012001101	200211101
2092	250B
1401202	1123012
110201212	20121212
10110001012	11201101212
1012110021	11212011221
24134	A121
3463	4938
110101120	11213332
12001121100	2222101100
24404	1B508
77639	93677
11021022202	212101102
1110000000101100	10101100100110111
1010011011010101	10110001001100100
207A	276B
C80B	354E
12D00	FE35
11130334	2414024
5A035	247A5
2002110111	211002211
1011000010001100	10000111000100010
46155	63543
70393	39307
111132212	23231222
202200210	10222001210
101113131	20011131
103303223	3030332
10110000000101001	1000100100100101
11024323	10313214
101311200	33320031
1145250	1531150
2601	20CA
9028	9488
BAC5	2AB87
22734	57254
522302	143516
10101000011010000	1010010100011100
1011202221	2100021121
110101101001001	1101110010011000
11132011	30103312
6123	7245
1B09	2721
15B22	8201
2C472	1C1BB
26405	80465
66162	127682
EC03	A9E9
11012202020	1200011120
421514	534023
1111000000101	1011011101011
121224	72804
2034234	1454221
33000	6534
52324	42325
132505	142440
31312222	33303331
1CE8A	EE34
11211021021	10101211121
5A900	28620
40154	11441
33B	692
4679	4822
3880	1436
1001000101001001	1001100100000101
505043	1405413
423A	27AC
5DCD	7942
15A06	74AD
9A72	4247B
35761	45931
3010332	32303031
2032453	1540423
10212122	21020122
251240	541110
202220	122020
331003	1051320
30245	114445
1312222	4331302
75A4	EEAF
2C949	3022B
46371	17364
1575	2685
61842	133A2
B114	5B3A
2003130	3302423
104264	210467
114566	215132
46746	50A56
1101111100111101	10110111111011111
132022	120250
1178	286B
413054	333441
49086	50336
36351	115177
46746	50A56
16118	81161
211122	11022
245020	431332
1CD78	AA9E
1022333	10100041
120250	142710
501430	335416
43491	19434
200000	221100
1110101100001101	1001000011110010
32A37	36B14
2100000101	10202110001
101BF	982C
34359	95343
55169	96155
4228	5448
80221	156481
34404	22563
14A11	53761
141102	301200
2201200222	11201012122
849	948
64825	39205
1111101111001010	10100110111000110
12023	21101
110321013	32003112
70406	125716
100111100000111	11001110010010
235015	243544
175037	31366
556	1663
10201212011	2200001211
253025	1412342
2AB70	AC17
14A11	53761
152135	78835
15B6B	207A1
4B1D	16883
515125	530101
100105	100105
42772	65452
400302	441405
1002113	1310000
20544	125874
33A6C	17674
981	1D77
14E49	D236
1E014	EBA4
78855	124415
10101000011111001	1101101111001100
710A	6391
46445	58325
1351041	1031011
20186	19561
17224	2A754
13120	10102
A1A6	50AA6
32122210	22300333
3313223	2001000
17394	A4AF
130B2	220B2
15987	30861
56106	54150
31331323	2300023
105523	10553
17394	A4AF
100001010000011	10001100110000111
4369	9634
31160	30323
17421	7015
82446	32246
1C82	7B8
62111	541331
106844	16254
30960	33100
312232	200011
B015	20606
11131242	4344424
20D7B	27C77
65516	20376
528C	5A48
312B3	47216
38B2B	90A5
60032	23006
AC2A	B7C4
70460	204616
1C82	7B8
809	986
54450	101433
3937	7393
1512333	502150
A732	5158
138057	103507
110000001010001	10010011101111010
10002102012	11121120012
2D3B	17CE7
1243215	405002
105221	10534
112132021	3123031
DDB9	417D
1050503	1542503
95477	77459
C3D4	E044
28025	127865
10014334	2410042
45914	22354
10862	15284
16B8A	2213A
3133321	4011300
414554	1512441
20052	31422
15	56
24A94	5A7A
112122221	101202023
164255	156423
313B6	2B056
469A5	17645
453230	104243
468	366
7655	5567
2933	12305
FE4D	27AC
1A7B2	138B6
411104	1223451
110120002	21120102
A765	8BF0
201200	203136
18812	37302
24A94	5A7A
1538	4601
50603	74473
331241	263051
101010111010	1100101001000
111332332	33220021
1D3D1	26D03
19294	39884
210121	2100100
236011	221122
4905	6136
20312330	23302013
3337	3760
15699	376B3
35595	53845
44555	24785
10142224	2433143
1200C	187DC
101013133	2231203
B48	4250
69378	87396
1705F	768D
48836	13743
1212111112	2122010212
64041	14046
10110010100011001	10001011011111011
112310020	110213113
47589	28AA3
11033	9728
355553	114453
3995A	4498A
45025	44305
10100011101001000	1011111001100010
220221	111221
6508	7533
20303	35056
141422	532335
2004210	545253
14299	355A9
9047	736D
E890	12399
244156	252010
23956	65932
21556	3631
DDF3	166D9
13121	20261
10010011101111	1010110101101
22230321	20100222
8971	1798
1133010	1023012
55432	540565
3233441	4210310
144414	114301
14521	578B
E886	14D99
65574	57644
257003	73752
14109	21014
202637	161156
12000221200	11002000100
123353	1335423
460662	144252
2741	1472
1110402	1005315
12212012	2100212
1B11	1C70
7712	161A2
32021211	102203013
10011201112	1111100212
1110402	1005315
1223021	332112
25622	2334B
101733	86543
3855	8055
2858A	2327A
102626	413423
B426	20163
19A63	2696C
38823	32883
21112122	110021022
2002100022	2220012122
920D	19C6D
22908	A82C
123003	111123
329AA	3443A
10101101001	1011011000111
101111100110	1100100000011
166	1453
1B606	200B0
300224	1152224
105140	122725
29664	46692
120222122	2022120022
93BF	8069
100033111	101132032
21112111	21211303
8227	164C5
235052	171710
138B9	C9D6
14440	29116
95555	55559
430246	211360
9831	8661
10001000001111101	10010100000010100
15426	6543
837D	BBB7
5664	EEC2
17593	C453
10110211020	11000220020
112410	15330
6686A	46A9A
62C5	E38C
3A7F	E255
33332	A511
1001110010	1001110010
D1F	253D
103624	500266
1003123	1104210
520520	555450
10850	6180
6692	2966
22333	10303
2146	63C
